signature,maxTargetSdk,trackingBug
|Landroid/graphics/pdf/PdfRenderer;->doClose()V|,|30|,|170729553|
|Landroid/graphics/pdf/flags/CustomFeatureFlags;->enableFormFilling()Z|,||,||
|Landroid/graphics/pdf/flags/CustomFeatureFlags;->enablePdfViewer()Z|,||,||
|Landroid/graphics/pdf/flags/FeatureFlags;->enableFormFilling()Z|,||,||
|Landroid/graphics/pdf/flags/FeatureFlags;->enablePdfViewer()Z|,||,||
|Landroid/graphics/pdf/flags/FeatureFlagsImpl;->enableFormFilling()Z|,||,||
|Landroid/graphics/pdf/flags/FeatureFlagsImpl;->enablePdfViewer()Z|,||,||
|Landroid/graphics/pdf/flags/Flags;->enableFormFilling()Z|,||,||
|Landroid/graphics/pdf/flags/Flags;->enablePdfViewer()Z|,||,||
|Landroid/provider/MediaStore$Files$FileColumns;->FORMAT:Ljava/lang/String;|,||,||
|Landroid/provider/MediaStore$Files$FileColumns;->STORAGE_ID:Ljava/lang/String;|,|30|,|170729553|
|Landroid/provider/MediaStore$Files;->getMtpObjectsUri(Ljava/lang/String;)Landroid/net/Uri;|,||,||
|Landroid/provider/MediaStore$Files;->getMtpObjectsUri(Ljava/lang/String;J)Landroid/net/Uri;|,||,||
|Landroid/provider/MediaStore$Files;->getMtpReferencesUri(Ljava/lang/String;J)Landroid/net/Uri;|,||,||
